Country,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
Sierra Leone,322009961.547048,327834190.577094,342721416.490967,348547278.787707,371847461.441278,359379856.248058,375479849.80806,348795303.000385,329859731.943893,408690163.476065,434410973.76439,419549304.72479,465381339.740404,575230724.377773,648590642.939889,679336343.584559,594895941.914381,691777583.951156,960728338.93643,1109374911.30306,1100685844.92284,1114830471.91787,1295361885.92419,995104305.347075,1087471861.98928,856890459.363958,490181456.62441,660106336.104339,1055083933.07498,932974420.276529,649644097.566129,779981987.10656,679940813.948366,768867882.965994,911853802.365613,870740291.519248,941709422.502965,850232760.017239,672368187.114756,669386623.951402,635866403.776065,1681473893.76655,1933863910.73227,2142618045.93129,2237350687.46606,2545275312.60512,3263697466.73514,3632957611.35152,4157895298.19572,3953403098.37107,4262805966.78755,4861632884.67985,6141666509.36295,7502762862.72657,7686138790.90872,6788352974.78329,6084297211.10217,5749846528.48046,6390514688.52816,6523577594.29408,6688307703.1447,7166931485.49433,7121125277.52542,6415852766.73832,6971127235.3123
Seychelles,12012024.6246505,11592023.7636487,12642025.9161531,13923028.5422085,15393031.5557147,15603031.9862156,16443033.7082191,16632032.1339974,16074027.6473276,16452028.2974887,18432031.7030945,21965950.7711142,30645122.9204727,36896280.4764104,43134496.1645367,47803145.9480985,49278981.7550701,64526401.4638544,85552365.8005137,127261099.223864,156783829.504298,163750728.155916,157211789.714587,156098237.022585,160992920.960262,179691482.72165,221147061.290068,265212956.838633,301985618.085556,324333366.514829,392163560.868669,398307169.860405,461409398.855893,504230620.551871,517570058.151034,540733047.733048,535250347.089479,598966982.350186,647287375.762528,662838614.880674,654212394.27164,662064155.920692,742134837.50919,750847230.099263,893012218.181818,977899381.818182,1081441283.31798,1077308813.82945,979597394.293453,850901620.433301,981616542.328454,1058918707.26124,1089407839.19709,1333160407.38516,1387577870.08161,1432403352.12944,1568513348.14463,1675370641.01416,1784313926.76807,1868690096.73454,1382551751.56908,1487173794.80528,2018346588.73752,2187379754.66167,2167239562.46013
Senegal,1003692370.46869,1058975256.97025,1085475790.59112,1122139861.67805,1188930645.34423,1210058228.17112,1246908185.96343,1246480765.97984,1309384861.92219,1245234931.43233,1297407654.92832,1339549032.83782,1620857103.53492,1863398590.4556,2099325228.95651,2830388404.8977,2869777884.45166,2938046462.7098,3280354920.8516,4084877822.91679,4510108290.69571,4095892780.58289,4013951442.67081,3569356124.93159,3485165431.71354,3818944917.56713,5392093445.51053,6487353102.81483,6418419388.63499,6366039372.53683,7390967360.42121,7255210469.51743,7769817839.95644,7367986241.21869,5034588195.55806,6326342633.4034,6559712165.96508,6041478725.90443,6505607909.05324,6592834932.80876,6013185003.97525,6507824829.26254,7006402319.75856,8768721563.18211,10076816666.6196,11009033437.939,11697918243.0035,13994218412.9619,16853989627.548,16145867494.9405,16121315909.0758,17814283639.3119,17660870411.5235,18918667724.8817,19797253440.2679,17774766696.1759,19040312333.1864,20996562943.5979,23116701556.1381,23403995992.1354,24530513037.7518,27520784129.7508,27783332222.6759,30696331295.7826,32808056600.9436
Sao Tome and Principe,,,,,,,,,,,37211826.0869565,37288845.210287,41430256.8067496,56011244.7398414,57817591.4570048,60101709.8452627,52039421.1975774,49207692.3210324,55044562.8014217,65755928.1359723,81662231.0329968,83499263.5007481,80307762.6236105,75110289.1832665,78213795.9250336,82733069.4418031,115928906.745482,115952925.468271,99000764.3902251,98545367.0431211,119297932.757045,107484142.71556,94861780.6228352,125742228.756741,131338414.584209,103695236.781001,135188165.74708,91920274.2401657,72285403.8423458,77302211.9248351,76198394.8202671,75951133.3777948,85171073.8777498,102085769.123419,114582283.916382,136450662.390592,142775104.081626,149146918.888611,188021165.00338,200668065.03175,190021192.489536,226455001.243083,225815131.929273,267041747.584354,293119143.246825,259999643.047388,292267272.196925,322002845.229335,383717327.830508,412976082.620705,471229484.607144,524402455.54816,540809499.189348,690456806.696406,822154621.088897
Rwanda,119000024.0,122000016.0,125000008.0,128000000.0,129999994.0,148799980.0,124525702.857143,159560018.0,172200018.0,188700037.0,219900006.0,222952504.40607,246457838.336681,290746157.145921,308458423.183854,571863500.248658,637753853.12552,746650613.034794,905709076.42303,1109346130.95265,1254765641.52116,1407062526.91521,1407243139.2545,1479687586.94292,1587413083.9206,1715626330.59472,1944710683.87148,2157432667.61598,2395492686.78165,2405022593.05165,2550185679.08109,1911600236.67461,2029026961.55894,1971525711.83511,753636370.454545,1293535193.49248,1382334879.40812,1851558197.31088,1989343546.17594,2157108262.84452,2068836754.37431,1966600715.49841,1966003468.49117,2138237278.73822,2376496067.01198,2933819766.17656,3319784538.73346,4070507894.61656,5179854064.57033,5674476969.06444,6124756654.12346,6884913658.10632,7654761050.18587,7819964030.17937,8238966124.23115,8543760199.80208,8695272057.91798,9252833891.40871,9637904520.86283,10349300276.7623,10174386856.6101,11078787090.1564,13316161002.3912,14331722703.4134,14251642235.0968
Nigeria,4196174501.5302,4467287893.08484,4909399176.24033,5165590253.7639,5552931318.82747,5874537650.18494,6366917453.23302,5203237918.70483,5200997919.60083,6634317346.27306,12546094981.562,9181769911.50443,12274416017.7976,15162871287.1287,24846641318.1242,27778934624.6973,36308883248.731,36035407725.3219,36527862208.7133,47259911894.2731,64201788122.6054,164475209515.939,142769363314.176,97094911792.0489,73484359521.4887,73745821158.2254,54805852580.9129,52676041931.1087,49648470440.4593,44003061108.4005,54035795387.8086,59526833412.3581,52058181853.8055,56721051402.4732,80399613063.6364,140919776986.364,185730236700.0,200850397618.182,218416200672.727,59145077039.1437,69171451627.2465,73557840064.489,95054059302.6995,104738954264.226,135764731645.611,175670569969.346,238454997161.48,278260846800.103,339476276257.793,295008835380.997,366990417129.04,414466676831.16,463971018239.281,520117180313.906,574183763411.508,493026682800.63,404649125252.16,375745731053.427,421739251509.08,668219992691.462,598586817819.073,609147716972.859,646950257577.814,487387801880.597,252261880141.151
Niger,449526873.29589,485785230.978987,531736599.250464,586294878.744643,582816396.404409,673383510.812866,702296078.593173,665586872.274446,641214226.209493,625867985.273798,649916621.242978,693573703.630273,742779660.818693,946385105.193732,1026137110.89309,1048690933.21027,1064517601.29025,1291458041.46193,1774365589.70815,2109277665.69912,2508524720.71895,2170893414.3888,2017612215.97935,1803099561.20046,1461243326.12882,1440581652.39853,1904096998.30009,2233006104.92776,2280356192.76273,2179567114.33391,3512356507.88599,3285796874.97125,3386232579.22522,3052673849.25181,1938058175.21399,2302537562.24406,2405686940.0464,2290318910.20658,2643363518.99272,2537789820.69295,2241753192.81158,2448714703.96617,2782192878.67204,3394084732.49543,3760443737.53797,4383315964.58718,4756361252.37923,5731485051.79069,7297600226.00536,7352131309.73341,7851192502.30917,8772950777.79176,9426912647.59111,10224897437.8648,10862943543.5419,9683867926.44282,10398861981.7583,11185104251.6943,12837307496.8821,12889555561.2299,13744653103.058,14915002436.069,15433852712.2963,16698786977.59,19876128485.7857
Namibia,,,,,,,,,,,,,,,,,,,,,2421990338.12083,2249908578.03115,2118710248.32937,2297400687.55049,1951260037.94542,1608237350.44365,1809048527.11034,2300068216.96898,2495094746.44024,2535135797.50766,2789921853.53112,2996869281.48364,3429521699.4026,3251188833.14533,3666503529.62911,3978514206.31168,3989163196.56767,4154989950.00393,3873109865.55683,3868551730.39163,3922232164.83175,3557341215.15159,3349169826.38896,4926439383.51425,6609205994.77406,7248374837.72056,8001779551.06323,8839536475.99963,8607431497.49471,8938847189.07592,11431412421.1316,12523359440.5499,13042053591.6857,12043307277.1235,12435430969.6301,11335161083.5061,10722018732.0936,12895153370.9132,13682019076.4022,12541928303.48,10583748541.5258,12402486183.6396,12569449123.3661,12408271449.2244,13372354511.716
Mozambique,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3854856434.58062,2798696511.18156,2883161897.42651,2958108170.32061,3061646173.73938,4030146134.5706,4873663774.93019,5551118148.73836,6285219691.22462,5930685214.61595,5650154067.10346,5950769426.60213,6583526860.58062,7937255565.35765,8868504899.94673,9509835536.93373,10811456005.9405,12920340964.6544,12263894790.0125,11411894723.864,14619279988.716,16688114144.0745,17198073057.1981,17978246586.0662,16208985769.615,12069051237.1711,13264640645.7768,15017358952.8452,15512759046.672,14235420174.1884,16168055475.4449,18883528581.3734,20921079532.6094,22745341305.0622
Morocco,2037154741.93211,2025693539.55842,2379611124.61442,2657252578.30763,2798345298.57781,2948331090.46752,2876401297.10759,3046345314.38655,3271422332.61996,3651622668.95103,3956336244.11865,4356669034.34266,5074117544.77482,6242145880.08876,7675466449.35531,8984853005.08058,9584297284.28316,11049783871.8144,13236946233.5759,15911994817.3107,21728516153.0907,17788185478.944,17692276734.171,16251408127.5735,14824667954.3674,14991283215.7408,19462085540.2231,21765195948.189,25705296183.5037,26314313191.1826,30179954774.9899,32285573573.9185,33711069430.78,31655473663.8348,35604137422.5796,39030285468.3841,43161571527.6353,39147844526.0838,46497608724.9865,46266428648.1433,43017455401.8445,43831480207.6444,47077192187.6418,58029363354.2757,66114145451.0067,68852658068.6673,75883823300.8545,86947913286.728,101822906949.063,101154952240.881,100865329473.44,110080631332.375,106937392311.129,115739287305.08,119130841411.664,110413823841.592,111572947004.917,118540573367.844,127341147581.818,128920266409.458,121353645057.144,142022058447.231,131245312804.483,146036093666.762,160610994054.734
